date,VAT,Income_Tax,Customs_Duties,Excise_Tax,Total_Revenue
2020-01-31,3962254818.2467966,2555602200.0,2262203150.089376,1172061627.270758,9952121771.60693
2020-02-29,4052761685.8915925,2229279500.0,2331165926.697165,1176179164.0019906,9789386264.590748
2020-03-31,4086457514.9688196,2491088100.0,2353038558.9608774,1142005652.4482596,10072589854.377956
2020-04-30,4040502167.270634,2762715600.0,2349060201.642511,1208780203.0894513,10361058220.002596
2020-05-31,4038522212.711852,2299652000.0,2322787340.409829,1167808860.4037406,9828770509.525421
2020-06-30,3966789343.132541,3007360300.0,2380440875.105884,1144345542.6269433,10498936016.86537
2020-07-31,4194635641.617776,3171740200.0,2362498717.9742312,1153707538.6973498,10882582058.289356
2020-08-31,4043085212.4017005,2641753600.0,2268465440.468298,1186901860.906165,10140206113.776163
2020-09-30,4034597388.1210456,2606985000.0,2269402036.9248123,1166337735.4743268,10077322120.520185
2020-10-31,4187358027.453631,3195577000.0,2286283411.4277334,1254828470.4501948,10924046997.331558
2020-11-30,4025111165.593584,3504271400.0,2304998435.882352,1190220987.8308115,11024601949.306747
2020-12-31,4085388434.8872857,2717057500.0,2295218180.2975807,1174701349.6868513,10272365500.871717
