date,Year,Month,Quarter,total_revenue,VAT,Income_Tax,Customs_Duties,Excise_Tax,Corporate_Tax,PAYE,Mineral_Royalty,VAT_Domestic,VAT_Import,Customs_Duty,Import_VAT,Fuel_Levy,Property_Tax,gdp_growth,inflation_rate,exchange_rate_usd,policy_rate,money_supply_m2,copper_price_usd,Copper_Production_Volume,Copper_Export_Value,Cobalt_Price,Mining_Sector_GDP,Maize_Production,Tobacco_Sales,Rainfall_Index,Manufacturing_PMI,Cement_Sales,New_Business_Registrations,Total_Imports_Value,Total_Exports_Value,Trade_Balance,Formal_Employment,Average_Wage,Unemployment_Rate,Working_Days,Filing_Deadline,VAT_Rate_Change,Total_Calculated_Revenue,Data_Quality_Score
2001-01-01,2001,1,1,8317615631.6435375,3207113104.302102,2497033931.4386206,1424697997.981328,788079957.189832,1580269385.5859299,804737889.9640788,569039276.7520157,1973983386.106428,1233129718.1956742,1052501700.1420064,372196297.8393217,314726385.43774027,262597411.5782898,4.496714153011233,11.585207096486446,5.323844269050346,9.558450173519887,18.8293152152541,6761.514928204013,65459.87962239394,398347157.93872887,27938.481493323543,6.055117339868784,751947.8051453376,97742236.99513464,159.39232046556688,50.7884660437592,352444.3833044536,3396.9128675815095,13391799521.286804,555592301.3235382,-12836207219.963266,1014551.7000631092,6182.220129862681,10.978447805324402,22,0,0,7916924990.911882,0.8893431866842499
2001-02-01,2001,2,1,7915735306.324224,3180857850.8273845,2006134501.7581315,1448206876.666598,850028590.4305242,1314301060.784851,695186895.3343025,472352248.1446991,2048402241.9572334,1132455608.870151,1108564722.7827156,339642153.88388246,359641075.7879706,184172322.382043,3.9010580941962787,10.372386921805873,5.03056940217327,9.57554237415906,13.94107109705346,5932.3909117012145,65806.42193841047,351350477.4951015,29347.238476592167,4.733711201102515,742307.5773055657,93649536.53423242,128.17514433261303,52.166688179314896,369672.49372555397,3342.625408787772,14034265277.607836,468394577.22366273,-13565870700.384172,1049443.9230227845,6265.412881077355,11.80100769000285,22,0,0,7485227819.682638,0.9284342902272125
2001-03-01,2001,3,1,8808977981.085512,3518827919.7175727,2606681493.1701612,1783214747.6825657,910688110.132802,1958058037.5750763,840363552.2679629,548001670.0927066,2293364220.897343,1225463698.8202295,1326747174.4215996,456467573.26096594,413987921.9681327,176727085.40951887,3.0191817909924454,8.358046794424656,5.472929577863766,8.107013275631994,25.55099782279345,6772.305793579381,69320.02977747402,422510795.34577423,36785.56285755873,4.06922122808091,851183.6697884921,95654076.25058669,118.8175786743256,49.35545702025134,362120.912713804,3752.5567914194844,18290642071.387997,562552543.3272717,-17728089528.060726,1069926.4400108221,6597.776646977416,11.664044786888756,18,1,0,8819412270.703102,0.8890838181061415
2001-04-01,2001,4,2,8441144540.326344,3265966263.436839,2305662415.8899655,1417823941.3949718,830500093.9880126,1526628716.5684402,937449083.8155677,534025021.7371334,2134281376.175013,1131684887.261826,1062841920.5508541,354982020.8441178,304232755.00199294,207967355.01692656,4.861125353120431,11.150109451922336,4.916087137933619,9.283102055135549,7.52411976218265,6778.029280047549,65663.73527080557,400563648.27253,35511.73841274833,5.623053629577804,1100589.3851103496,99329722.68783182,124.9232101350042,50.243909544500276,329759.770086717,3759.8978712940802,15244348070.018755,552418607.0150576,-14691929463.003696,956530.6272602631,7216.397155468049,10.55814893720772,18,0,0,7819952714.709789,0.8928937305419817
2001-05-01,2001,5,2,8556389418.070632,3252992830.5293617,2333235105.6336384,1623457678.0098796,751005119.9185913,1554144760.4369678,752606617.2230673,469777218.7279328,2063486992.954919,1189505837.5744426,1207136193.6818976,416321484.327982,368500083.73269343,204032910.48103777,4.837010213874423,18.46470021076327,4.638065170767988,13.332001470469276,18.549288396085668,5904.850985545071,71971.14340660116,382480989.367747,41535.71377141214,5.026870974228852,1194206.7196295338,103514026.05248407,97.99937828474302,52.79837637901753,380157.15495319234,3368.2629554691152,17237290552.99638,543775930.4340256,-16693514622.562355,1013981.0801416103,6943.700716288319,12.121499678658138,18,0,0,7960690734.091472,0.9039609832028205
2001-06-01,2001,6,2,8391918714.665783,2999199904.88169,2511428723.4717736,1562505728.427073,908178491.8789674,1775338481.6301575,860511810.3272737,498488152.08667004,1904267829.5241613,1094932075.3575287,1199337945.369617,363167783.05745596,397800592.38983846,302502737.4048962,3.0950126438674004,15.014708843629265,5.829219497423767,10.552857159853211,17.57743621001369,6601.902230000369,73729.35847254877,438078614.5047747,48672.110795308705,3.7430356918286742,1198204.2465165274,108335790.38582766,106.34263665375576,48.37799423092217,364847.2405753077,3507.2853656392695,16740687146.389383,590233727.1466781,-16150453419.242704,999691.8877004897,6101.603140965797,10.41848610864747,22,1,0,7981312848.659504,0.9659527705247489
2001-07-01,2001,7,3,8977486482.842804,3452912541.9983087,2368451815.037389,1758342645.7734876,902359562.5015366,1601484151.396856,904715331.5718414,509706747.44140214,2149253715.5119824,1303658826.4863265,1285776629.090976,472566016.6825116,429299153.0452549,292387126.63222855,3.926519878680261,14.409196382970418,5.3070468720651025,11.377779117336392,23.526586898644187,5658.202582522593,73818.68786735451,375912981.296545,54263.657453273605,4.935985148294978,1040393.3754515407,113842555.27345455,124.08444237264607,50.97408656201678,333165.93974592106,3262.018793149779,17873593081.175392,456511396.5575922,-17417081684.6178,1002018.192898019,6262.668629074968,10.131503495019503,22,0,0,8482066565.310721,0.9724612532332971
2001-08-01,2001,8,3,8618836909.83986,3297317227.8233366,2287376117.09198,1579374962.9912899,865811453.5421093,1442080823.9197156,947701836.1712909,534373396.10671926,2185060840.351851,1112256387.4714854,1185009560.5342922,394365402.45699763,408752791.4497784,303728663.5541189,4.7908522373533415,10.569737917163659,5.273432689603741,8.950051711187095,29.66856737233106,5880.654725280202,68302.31024734382,361496073.1532371,32777.50627890409,4.9493660351252355,824122.148641608,107940190.7592493,133.18632791255183,48.32198667824962,350535.77020679286,3477.2688870039265,14761897797.395664,533765372.618543,-14228132424.77712,1024915.7522147144,5904.558022832477,12.824528613721442,22,0,0,8029879761.448716,0.9626257729332068
2001-09-01,2001,9,3,9225204206.124235,3461777811.9467325,2928449871.2624173,1657846391.3023236,836486935.8853871,1789727192.640088,1015722426.791088,497391479.50113153,2363176482.4038076,1098601329.542925,1195965699.0266595,461880692.2756642,358014547.9319033,282786668.80118084,6.6154561671205085,14.884062448320108,4.506981683689659,12.708942373346677,18.594986005239427,6130.917794314157,78850.6996790235,435084441.98062205,27820.689244102803,8.708033282301065,1134912.5989561682,103390997.0775817,118.56313711252673,50.94395983108078,371164.92010420543,3607.4356272494515,13432904329.664322,621324110.8475968,-12811580218.816725,974576.6494447668,7595.658820808126,12.580181846099304,22,1,0,8884561010.39686,0.9134077217417848
2001-10-01,2001,10,4,8827279746.66345,3272355622.8933835,2367588577.4183493,1701405485.1557682,914242730.3513898,1489716830.0342462,892552473.7761042,562993430.6546588,2147143021.1817596,1125212601.711624,1254626584.015663,446778901.1401051,451487556.90915996,289170077.08971846,4.623159244666763,13.077981420310302,5.2457510557182445,10.74658897144087,26.82495233593333,6175.270276032663,68289.98297378597,379538191.8079174,26061.64194034109,4.983502097462662,1477395.6290077593,109152219.33854716,117.76711021349159,50.484948975257254,381178.65085686074,3757.1144079687756,18398164608.476242,542947555.9413838,-17855217052.53486,1007050.1920816379,6885.976485647482,11.569733243406544,18,0,0,8255592415.818892,0.9072446441108831
